Document Name,Cosine Similarity,Rank
157,0.9760114611368279,1
101,0.21771914874340814,2
102,0.21771914874340814,3
107,0.21771914874340814,4
108,0.21771914874340814,5
112,0.21771914874340814,6
113,0.21771914874340814,7
116,0.21771914874340814,8
152,0.21771914874340814,9
154,0.21771914874340814,10
162,0.21771914874340814,11
17,0.21771914874340814,12
173,0.21771914874340814,13
185,0.21771914874340814,14
190,0.21771914874340814,15
197,0.21771914874340814,16
210,0.21771914874340814,17
22,0.21771914874340814,18
240,0.21771914874340814,19
254,0.21771914874340814,20
264,0.21771914874340814,21
274,0.21771914874340814,22
277,0.21771914874340814,23
278,0.21771914874340814,24
281,0.21771914874340814,25
282,0.21771914874340814,26
283,0.21771914874340814,27
284,0.21771914874340814,28
285,0.21771914874340814,29
286,0.21771914874340814,30
287,0.21771914874340814,31
288,0.21771914874340814,32
289,0.21771914874340814,33
291,0.21771914874340814,34
293,0.21771914874340814,35
295,0.21771914874340814,36
296,0.21771914874340814,37
298,0.21771914874340814,38
299,0.21771914874340814,39
300,0.21771914874340814,40
301,0.21771914874340814,41
302,0.21771914874340814,42
303,0.21771914874340814,43
305,0.21771914874340814,44
306,0.21771914874340814,45
307,0.21771914874340814,46
308,0.21771914874340814,47
309,0.21771914874340814,48
310,0.21771914874340814,49
311,0.21771914874340814,50
312,0.21771914874340814,51
313,0.21771914874340814,52
315,0.21771914874340814,53
316,0.21771914874340814,54
317,0.21771914874340814,55
32,0.21771914874340814,56
320,0.21771914874340814,57
321,0.21771914874340814,58
322,0.21771914874340814,59
323,0.21771914874340814,60
324,0.21771914874340814,61
325,0.21771914874340814,62
326,0.21771914874340814,63
328,0.21771914874340814,64
33,0.21771914874340814,65
330,0.21771914874340814,66
331,0.21771914874340814,67
333,0.21771914874340814,68
334,0.21771914874340814,69
336,0.21771914874340814,70
337,0.21771914874340814,71
338,0.21771914874340814,72
339,0.21771914874340814,73
340,0.21771914874340814,74
341,0.21771914874340814,75
342,0.21771914874340814,76
343,0.21771914874340814,77
344,0.21771914874340814,78
345,0.21771914874340814,79
346,0.21771914874340814,80
347,0.21771914874340814,81
348,0.21771914874340814,82
350,0.21771914874340814,83
351,0.21771914874340814,84
352,0.21771914874340814,85
353,0.21771914874340814,86
354,0.21771914874340814,87
355,0.21771914874340814,88
356,0.21771914874340814,89
357,0.21771914874340814,90
358,0.21771914874340814,91
366,0.21771914874340814,92
368,0.21771914874340814,93
371,0.21771914874340814,94
393,0.21771914874340814,95
394,0.21771914874340814,96
396,0.21771914874340814,97
398,0.21771914874340814,98
399,0.21771914874340814,99
400,0.21771914874340814,100
405,0.21771914874340814,101
44,0.21771914874340814,102
450,0.21771914874340814,103
451,0.21771914874340814,104
452,0.21771914874340814,105
453,0.21771914874340814,106
454,0.21771914874340814,107
455,0.21771914874340814,108
456,0.21771914874340814,109
459,0.21771914874340814,110
462,0.21771914874340814,111
467,0.21771914874340814,112
473,0.21771914874340814,113
498,0.21771914874340814,114
52,0.21771914874340814,115
54,0.21771914874340814,116
59,0.21771914874340814,117
80,0.21771914874340814,118
85,0.21771914874340814,119
90,0.21771914874340814,120
93,0.21771914874340814,121
97,0.21771914874340814,122
98,0.21771914874340814,123
99,0.21771914874340814,124
279,0.21771914874340811,125
314,0.21771914874340811,126
