Word,Frequency
SPIEGEL,2203
und,1411
die,1299
der,1268
Zur,1233
Merkliste,1211
hinzufügen,1207
Menü,1147
aufklappen,1067
Min,944
in,844
von,640
mit,639
ist,510
den,496
das,463
für,447
zu,436
im,419
auf,414
Sie,391
Die,372
ein,372
Das,355
sich,335
Alle,318
Von,304
eine,303
nicht,290
1,289
Uhr,278
des,267
Spiele,263
dem,244
haben,241
Der,236
es,235
DER,229
als,229
sie,228
TV,228
Gutscheine,220
2025,220
auch,219
Magazine,218
ich,217
sind,210
Games,207
2,206
an,205
