URL,Outlinks Count
https://en.wikipedia.org/wiki/Los_Angeles_Dodgers,365
https://en.wikipedia.org/wiki/Los_Angeles_Dodgers_minor_league_players,450
https://en.wikipedia.org/wiki/Los_Angeles_Dodgers#cite_note-77,1
https://en.wikipedia.org/wiki/Los_Angeles_Dodgers#cite_note-The_New_York_Times_–_Branch_Rickey-28,1
https://en.wikipedia.org/wiki/Los_Angeles_Dodgers#cite_note-Vin_Scully_Retrospective-113,1
https://en.wikipedia.org/wiki/Los_Angeles_Dodgers#Managers,1
https://en.wikipedia.org/wiki/Los_Angeles_Dodgers#cite_note-3,9
https://en.wikipedia.org/wiki/Los_Angeles_Dodgers#cite_note-85,1
https://en.wikipedia.org/wiki/Los_Angeles_Dodgers#cite_ref-YankeesDodgers_80-1,1
https://en.wikipedia.org/wiki/Los_Angeles_Dodgers#cite_note-131,1
https://en.wikipedia.org/wiki/Los_Angeles_Dodgers#cite_note-LeonardBernardo-7,1
https://en.wikipedia.org/wiki/Los_Angeles_Dodgers#cite_note-Vin_Scully_trims_'12_travel_schedule-116,1
https://en.wikipedia.org/wiki/Los_Angeles_Dodgers#cite_note-101,1
https://en.wikipedia.org/wiki/Los_Angeles_Dodgers#cite_ref-36,1
https://en.wikipedia.org/wiki/Los_Angeles_Dodgers#cite_note-114,1
https://en.wikipedia.org/wiki/Los_Angeles_Dodgers#Team_captains,1
https://en.wikipedia.org/wiki/Los_Angeles_Dodgers#cite_ref-DodgersTimeline1950s_11-0,1
https://en.wikipedia.org/wiki/Los_Angeles_Dodgers#cite_ref-latimes_118-0,1
https://en.wikipedia.org/wiki/Los_Angeles_Dodgers#cite_note-132,1
https://en.wikipedia.org/wiki/Los_Angeles_Dodgers#cite_note-119,1
https://en.wikipedia.org/wiki/Los_Angeles_Dodgers#cite_note-DodgersTimeline1890s-33,1
https://en.wikipedia.org/wiki/Los_Angeles_Dodgers#cite_ref-49,1
https://en.wikipedia.org/wiki/Los_Angeles_Dodgers#cite_note-121,1
https://en.wikipedia.org/wiki/Los_Angeles_Dodgers#cite_ref-110,1
https://en.wikipedia.org/wiki/Los_Angeles_Dodgers#cite_note-109,1
https://en.wikipedia.org/wiki/Los_Angeles_Dodgers#General_Managers/Presidents_of_Baseball_Operations,1
https://en.wikipedia.org/wiki/Los_Angeles_Dodgers#World_Series_Most_Valuable_Player,1
https://en.wikipedia.org/wiki/Los_Angeles_Dodgers#Triple_Crown,1
https://en.wikipedia.org/wiki/Los_Angeles_Dodgers#cite_note-YankeesDodgers-80,1
https://en.wikipedia.org/wiki/Los_Angeles_Dodgers#cite_ref-Vin_Scully_Retrospective_113-4,1
https://en.wikipedia.org/wiki/Los_Angeles_Dodgers#cite_ref-78,1
https://en.wikipedia.org/wiki/Los_Angeles_Dodgers#cite_ref-54,1
https://en.wikipedia.org/wiki/Los_Angeles_Dodgers#cite_ref-103,1
https://en.wikipedia.org/wiki/Los_Angeles_Dodgers#cite_ref-104,1
https://en.wikipedia.org/wiki/Los_Angeles_Dodgers#cite_note-59,1
